"municipality","votes","candidate","parties","file","district"
"札幌市中央区",53200,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"札幌市中央区",59879,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"札幌市北区(1区)",1577,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"札幌市北区(1区)",1808,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"札幌市南区",36229,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"札幌市南区",38906,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"札幌市西区（1区）",29981,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"札幌市西区（1区）",38517,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"北海道第１区 合計",120987,"船橋　利実","自由民主党","000520874.xls","北海道第１区"
"北海道第１区 合計",139110,"道下　大樹","立憲民主党","000520874.xls","北海道第１区"
"札幌市北区（2区）",40995,"松木　けんこう","希望の党","000520874.xls","北海道第２区"
"札幌市北区（2区）",11195,"こわだ　康文","日本維新の会","000520874.xls","北海道第２区"
"札幌市北区（2区）",26811,"金倉　まさとし","日本共産党","000520874.xls","北海道第２区"
"札幌市北区（2区）",53706,"よしかわ　貴盛","自由民主党","000520874.xls","北海道第２区"
"札幌市東区",33430,"松木　けんこう","希望の党","000520874.xls","北海道第２区"
"札幌市東区",10448,"こわだ　康文","日本維新の会","000520874.xls","北海道第２区"
"札幌市東区",25815,"金倉　まさとし","日本共産党","000520874.xls","北海道第２区"
"札幌市東区",51118,"よしかわ　貴盛","自由民主党","000520874.xls","北海道第２区"
"北海道第２区 合計",74425,"松木　けんこう","希望の党","000520874.xls","北海道第２区"
"北海道第２区 合計",21643,"こわだ　康文","日本維新の会","000520874.xls","北海道第２区"
"北海道第２区 合計",52626,"金倉　まさとし","日本共産党","000520874.xls","北海道第２区"
"北海道第２区 合計",104824,"よしかわ　貴盛","自由民主党","000520874.xls","北海道第２区"
"札幌市白石区",52128,"荒井　さとし","立憲民主党","000520874.xls","北海道第３区"
"札幌市白石区",42818,"高木　ひろひさ","自由民主党","000520874.xls","北海道第３区"
"札幌市豊平区",56900,"荒井　さとし","立憲民主党","000520874.xls","北海道第３区"
"札幌市豊平区",50228,"高木　ひろひさ","自由民主党","000520874.xls","北海道第３区"
"札幌市清田区",32652,"荒井　さとし","立憲民主党","000520874.xls","北海道第３区"
"札幌市清田区",25915,"高木　ひろひさ","自由民主党","000520874.xls","北海道第３区"
"北海道第３区 合計",141680,"荒井　さとし","立憲民主党","000520874.xls","北海道第３区"
"北海道第３区 合計",118961,"高木　ひろひさ","自由民主党","000520874.xls","北海道第３区"
"札 幌 市 西 区 第（４区）",16819,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"札 幌 市 西 区 第（４区）",17032,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"札 幌 市 西 区 第（４区）",6662,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"札幌市手稲区",31396,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"札幌市手稲区",29754,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"札幌市手稲区",11888,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"小樽市",26023,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"小樽市",26629,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"小樽市",8403,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"島牧村",294,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"島牧村",540,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"島牧村",91,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"寿都町",527,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"寿都町",1067,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"寿都町",133,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"黒松内町",669,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"黒松内町",904,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"黒松内町",173,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"蘭越町",1180,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"蘭越町",1545,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"蘭越町",333,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"ニセコ町",1077,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"ニセコ町",1242,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"ニセコ町",334,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"真狩村",400,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"真狩村",770,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"真狩村",146,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"留寿都村",243,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"留寿都村",570,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"留寿都村",117,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"喜茂別町",500,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"喜茂別町",679,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"喜茂別町",142,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"京極町",504,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"京極町",1135,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"京極町",188,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"倶知安町",2619,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"倶知安町",4500,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"倶知安町",934,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"共和町",1062,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"共和町",2209,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"共和町",296,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"岩内町",2001,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"岩内町",4309,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"岩内町",707,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"泊村",246,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"泊村",722,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"泊村",89,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"神恵内村",165,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"神恵内村",388,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"神恵内村",55,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"積丹町",329,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"積丹町",814,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"積丹町",98,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"古平町",433,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"古平町",1155,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"古平町",186,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"仁木町",625,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"仁木町",1238,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"仁木町",162,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"余市町",3267,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"余市町",6470,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"余市町",738,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"赤井川村",240,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"赤井川村",382,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"赤井川村",66,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"北海道第４区 合計",90619,"本多　平直","立憲民主党","000520874.xls","北海道第４区"
"北海道第４区 合計",104054,"中村　ひろゆき","自由民主党","000520874.xls","北海道第４区"
"北海道第４区 合計",31941,"高橋　みほ","希望の党","000520874.xls","北海道第４区"
"札幌市厚別区",37489,"池田　まき","立憲民主党","000520874.xls","北海道第５区"
"札幌市厚別区",1948,"森山　よしのり","（幸福実現党）","000520874.xls","北海道第５区"
"札幌市厚別区",30589,"和田　よしあき","自由民主党","000520874.xls","北海道第５区"
"江別市",32585,"池田　まき","立憲民主党","000520874.xls","北海道第５区"
"江別市",1470,"森山　よしのり","（幸福実現党）","000520874.xls","北海道第５区"
"江別市",29711,"和田　よしあき","自由民主党","000520874.xls","北海道第５区"
"千歳市",15512,"池田　まき","立憲民主党","000520874.xls","北海道第５区"
"千歳市",1388,"森山　よしのり","（幸福実現党）","000520874.xls","北海道第５区"
"千歳市",28083,"和田　よしあき","自由民主党","000520874.xls","北海道第５区"
"恵庭市",14817,"池田　まき","立憲民主党","000520874.xls","北海道第５区"
"恵庭市",974,"森山　よしのり","（幸福実現党）","000520874.xls","北海道第５区"
"恵庭市",20572,"和田　よしあき","自由民主党","000520874.xls","北海道第５区"
"北広島市",16563,"池田　まき","立憲民主党","000520874.xls","北海道第５区"
"北広島市",744,"森山　よしのり","（幸福実現党）","000520874.xls","北海道第５区"
"北広島市",13990,"和田　よしあき","自由民主党","000520874.xls","北海道第５区"
"石狩市",14245,"池田　まき","立憲民主党","000520874.xls","北海道第５区"
"石狩市",865,"森山　よしのり","（幸福実現党）","000520874.xls","北海道第５区"
"石狩市",13399,"和田　よしあき","自由民主党","000520874.xls","北海道第５区"
"当別町",4065,"池田　まき","立憲民主党","000520874.xls","北海道第５区"
"当別町",194,"森山　よしのり","（幸福実現党）","000520874.xls","北海道第５区"
"当別町",5075,"和田　よしあき","自由民主党","000520874.xls","北海道第５区"
"新篠津村",672,"池田　まき","立憲民主党","000520874.xls","北海道第５区"
"新篠津村",49,"森山　よしのり","（幸福実現党）","000520874.xls","北海道第５区"
"新篠津村",1268,"和田　よしあき","自由民主党","000520874.xls","北海道第５区"
"北海道第５区 合計",135948,"池田　まき","立憲民主党","000520874.xls","北海道第５区"
"北海道第５区 合計",7632,"森山　よしのり","（幸福実現党）","000520874.xls","北海道第５区"
"北海道第５区 合計",142687,"和田　よしあき","自由民主党","000520874.xls","北海道第５区"
"旭川市",72804,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"旭川市",87575,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"士別市",3812,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"士別市",7391,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"名寄市",7879,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"名寄市",7651,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"富良野市",5563,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"富良野市",5709,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"鷹栖町",1587,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"鷹栖町",2060,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"東神楽町",2031,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"東神楽町",3169,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"当麻町",1521,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"当麻町",2003,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"比布町",976,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"比布町",1380,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"愛別町",926,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"愛別町",923,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"上川町",880,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"上川町",1384,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"東川町",1845,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"東川町",2553,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"美瑛町",2315,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"美瑛町",3273,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"上富良野町",3854,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"上富良野町",2153,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"中富良野町",1560,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"中富良野町",1360,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"南富良野町",729,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"南富良野町",810,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"占冠村",254,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"占冠村",445,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"和寒町",939,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"和寒町",1369,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"剣淵町",657,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"剣淵町",1365,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"下川町",1077,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"下川町",1066,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"美深町",1364,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"美深町",1388,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"音威子府村",175,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"音威子府村",340,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"中川町",549,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"中川町",524,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"幌加内町",554,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"幌加内町",421,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"北海道第６区 合計",113851,"今津　ひろし","自由民主党","000520874.xls","北海道第６区"
"北海道第６区 合計",136312,"ささき　隆博","立憲民主党","000520874.xls","北海道第６区"
"釧路市",48973,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"釧路市",27991,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"根室市",7816,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"根室市",3567,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"釧路町",6118,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"釧路町",2892,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"厚岸町",3670,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"厚岸町",1252,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"浜中町",2484,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"浜中町",814,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"標茶町",2568,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"標茶町",1575,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"弟子屈町",2725,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"弟子屈町",1424,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"鶴居村",1027,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"鶴居村",436,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"白糠町",2852,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"白糠町",1322,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"別海町",5617,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"別海町",2023,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"中標津町",7285,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"中標津町",3063,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"標津町",2052,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"標津町",807,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"羅臼町",2013,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"羅臼町",574,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"北海道第７区 合計",95200,"伊東　よしたか","自由民主党","000520874.xls","北海道第７区"
"北海道第７区 合計",47740,"石川　明美","日本共産党","000520874.xls","北海道第７区"
"函館市",76135,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"函館市",55353,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"北斗市",12156,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"北斗市",10212,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"松前町",1785,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"松前町",2878,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"福島町",1113,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"福島町",1374,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"知内町",1106,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"知内町",1429,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"木古内町",1363,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"木古内町",1275,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"七飯町",8822,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"七飯町",6073,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"鹿部町",1005,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"鹿部町",1268,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"森町",4114,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"森町",4164,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"八雲町",5175,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"八雲町",4009,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"長万部町",1910,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"長万部町",1540,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"江差町",2432,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"江差町",2161,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"上ノ国町",1292,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"上ノ国町",1511,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"厚沢部町",1136,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"厚沢部町",1308,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"乙部町",1038,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"乙部町",1380,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"奥尻町",695,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"奥尻町",1161,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"今金町",1902,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"今金町",1415,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"せたな町",2592,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"せたな町",2732,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"北海道第８区 合計",125771,"おおさか　誠二","（無所属）","000520874.xls","北海道第８区"
"北海道第８区 合計",101243,"前田　一男","自由民主党","000520874.xls","北海道第８区"
"室蘭市",17779,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"室蘭市",19417,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"室蘭市",6379,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"苫小牧市",30159,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"苫小牧市",35115,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"苫小牧市",14106,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"登別市",8915,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"登別市",12486,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"登別市",3127,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"伊達市",6957,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"伊達市",7834,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"伊達市",2794,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"豊浦町",696,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"豊浦町",1178,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"豊浦町",346,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"壮瞥町",507,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"壮瞥町",699,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"壮瞥町",177,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"白老町",3257,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"白老町",4807,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"白老町",1326,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"厚真町",1117,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"厚真町",1352,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"厚真町",303,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"洞爺湖町",1705,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"洞爺湖町",2536,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"洞爺湖町",757,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"安平町",1630,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"安平町",2160,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"安平町",698,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"むかわ町",1822,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"むかわ町",2399,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"むかわ町",623,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"日高町",2308,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"日高町",3252,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"日高町",966,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"平取町",1163,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"平取町",1509,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"平取町",400,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"新冠町",1219,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"新冠町",1610,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"新冠町",377,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"浦河町",2637,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"浦河町",3484,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"浦河町",916,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"様似町",934,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"様似町",1368,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"様似町",269,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"えりも町",905,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"えりも町",1621,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"えりも町",287,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"新ひだか町",4610,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"新ひだか町",5920,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"新ひだか町",1692,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"北海道第９区 合計",88320,"山岡　達丸","希望の党","000520874.xls","北海道第９区"
"北海道第９区 合計",108747,"ほりい　学","自由民主党","000520874.xls","北海道第９区"
"北海道第９区 合計",35543,"松橋　ちはる","日本共産党","000520874.xls","北海道第９区"
"夕張市",2608,"いなつ　久","公明党","000520874.xls","北海道第10区"
"夕張市",2530,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"岩見沢市",19788,"いなつ　久","公明党","000520874.xls","北海道第10区"
"岩見沢市",23529,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"留萌市",6428,"いなつ　久","公明党","000520874.xls","北海道第10区"
"留萌市",5309,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"美唄市",6389,"いなつ　久","公明党","000520874.xls","北海道第10区"
"美唄市",5854,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"芦別市",5270,"いなつ　久","公明党","000520874.xls","北海道第10区"
"芦別市",3287,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"赤平市",3072,"いなつ　久","公明党","000520874.xls","北海道第10区"
"赤平市",2864,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"三笠市",2441,"いなつ　久","公明党","000520874.xls","北海道第10区"
"三笠市",2539,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"滝川市",10191,"いなつ　久","公明党","000520874.xls","北海道第10区"
"滝川市",10395,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"砂川市",4687,"いなつ　久","公明党","000520874.xls","北海道第10区"
"砂川市",5138,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"歌志内市",1139,"いなつ　久","公明党","000520874.xls","北海道第10区"
"歌志内市",1042,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"深川市",5267,"いなつ　久","公明党","000520874.xls","北海道第10区"
"深川市",6432,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"南幌町",2194,"いなつ　久","公明党","000520874.xls","北海道第10区"
"南幌町",2025,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"奈井江町",1391,"いなつ　久","公明党","000520874.xls","北海道第10区"
"奈井江町",1878,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"上砂川町",875,"いなつ　久","公明党","000520874.xls","北海道第10区"
"上砂川町",959,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"由仁町",1601,"いなつ　久","公明党","000520874.xls","北海道第10区"
"由仁町",1735,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"長沼町",3402,"いなつ　久","公明党","000520874.xls","北海道第10区"
"長沼町",2733,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"栗山町",3381,"いなつ　久","公明党","000520874.xls","北海道第10区"
"栗山町",3411,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"月形町",1044,"いなつ　久","公明党","000520874.xls","北海道第10区"
"月形町",1034,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"浦臼町",535,"いなつ　久","公明党","000520874.xls","北海道第10区"
"浦臼町",576,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"新十津川町",2060,"いなつ　久","公明党","000520874.xls","北海道第10区"
"新十津川町",1928,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"妹背牛町",1017,"いなつ　久","公明党","000520874.xls","北海道第10区"
"妹背牛町",881,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"秩父別町",831,"いなつ　久","公明党","000520874.xls","北海道第10区"
"秩父別町",692,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"雨竜町",771,"いなつ　久","公明党","000520874.xls","北海道第10区"
"雨竜町",797,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"北竜町",591,"いなつ　久","公明党","000520874.xls","北海道第10区"
"北竜町",707,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"沼田町",1058,"いなつ　久","公明党","000520874.xls","北海道第10区"
"沼田町",1083,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"増毛町",1553,"いなつ　久","公明党","000520874.xls","北海道第10区"
"増毛町",1208,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"小平町",1151,"いなつ　久","公明党","000520874.xls","北海道第10区"
"小平町",967,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
"苫前町",1096,"いなつ　久","公明党","000520874.xls","北海道第10区"
"苫前町",923,"神谷　ひろし","立憲民主党","000520874.xls","北海道第10区"
